ef,qps,recall,cv_pct
40,22387,0.9463,1.0
45,20330,0.9557,0.6
50,18671,0.9629,1.8
55,17616,0.9686,3.8
60,16600,0.9730,0.4
65,15635,0.9765,0.9
70,14103,0.9794,0.6
80,12680,0.9840,0.9
100,10561,0.9897,1.1
